entry_id,exit_id,vehicle_id,vehicle_type,start_time,end_time,distance,travel_time,speed
790064,78007B,宁AXE363_0,1,2021-07-23 08:12:34,2021-07-23 08:17:09,8889.9,0.076389,116.377
790064,78007B,宁AB1391_1,16,2021-07-23 08:28:41,2021-07-23 08:35:11,8889.9,0.108333,82.061
790064,78007B,宁A2654J_0,1,2021-07-23 08:31:30,2021-07-23 08:36:20,8889.9,0.080556,110.357
790064,78007B,宁A8RB26_0,1,2021-07-23 08:46:11,2021-07-23 08:50:26,8889.9,0.070833,125.505
790064,78007B,宁A79U76_0,1,2021-07-23 08:54:37,2021-07-23 08:58:55,8889.9,0.071667,124.045
790064,78007B,宁A8330J_0,1,2021-07-23 08:57:44,2021-07-23 09:03:57,8889.9,0.103611,85.801
790064,78007B,宁A4X905_0,1,2021-07-23 09:15:40,2021-07-23 09:20:34,8889.9,0.081667,108.855
790064,78007B,宁AB2039_1,16,2021-07-23 09:14:54,2021-07-23 09:20:52,8889.9,0.099444,89.396
790064,78007B,宁AAQ805_0,11,2021-07-23 09:13:48,2021-07-23 09:21:03,8889.9,0.120833,73.572
790064,78007B,宁EJ8337_0,1,2021-07-23 09:31:37,2021-07-23 09:36:54,8889.9,0.088056,100.957
790064,78007B,宁AG860D_0,1,2021-07-23 09:45:02,2021-07-23 09:49:25,8889.9,0.073056,121.686
790064,78007B,宁A017C9_0,1,2021-07-23 10:04:01,2021-07-23 10:09:07,8889.9,0.085,104.587
790064,78007B,宁A3GW25_0,1,2021-07-23 10:09:58,2021-07-23 10:15:17,8889.9,0.088611,100.325
790064,78007B,宁A2841D_0,1,2021-07-23 10:13:13,2021-07-23 10:17:52,8889.9,0.0775,114.708
790064,78007B,苏J1EY05_0,1,2021-07-23 10:15:42,2021-07-23 10:20:45,8889.9,0.084167,105.622
790064,78007B,浙C2AB97_0,1,2021-07-23 10:19:14,2021-07-23 10:24:10,8889.9,0.082222,108.121
790064,78007B,宁AD3131_1,16,2021-07-23 10:18:15,2021-07-23 10:24:13,8889.9,0.099444,89.396
790064,78007B,宁AU875V_0,1,2021-07-23 10:20:23,2021-07-23 10:24:50,8889.9,0.074167,119.863
790064,78007B,宁A703T3_0,11,2021-07-23 10:21:07,2021-07-23 10:35:01,8889.9,0.231667,38.374
790064,78007B,宁A8J738_0,1,2021-07-23 10:45:58,2021-07-23 10:50:51,8889.9,0.081389,109.227
790064,78007B,宁BW7027_0,1,2021-07-23 10:47:53,2021-07-23 10:52:19,8889.9,0.073889,120.314
790064,78007B,宁AS007H_0,1,2021-07-23 10:49:37,2021-07-23 10:53:57,8889.9,0.072222,123.091
790064,78007B,蒙B52U07_0,1,2021-07-23 10:53:43,2021-07-23 10:58:41,8889.9,0.082778,107.394
790064,78007B,宁AD7357_0,1,2021-07-23 10:57:59,2021-07-23 11:03:03,8889.9,0.084444,105.276
790064,78007B,宁CEL149_0,11,2021-07-23 11:01:40,2021-07-23 11:06:50,8889.9,0.086111,103.238
790064,78007B,宁A74926_0,1,2021-07-23 11:08:15,2021-07-23 11:12:50,8889.9,0.076389,116.377
790064,78007B,宁AY103N_0,1,2021-07-23 11:16:20,2021-07-23 11:21:03,8889.9,0.078611,113.087
790064,78007B,宁BW5309_0,1,2021-07-23 11:17:41,2021-07-23 11:22:20,8889.9,0.0775,114.708
790064,78007B,宁AB0378_1,16,2021-07-23 11:30:24,2021-07-23 11:36:17,8889.9,0.098056,90.661
790064,78007B,宁AJ288R_0,1,2021-07-23 11:33:25,2021-07-23 11:37:59,8889.9,0.076111,116.802
790064,78007B,宁A1V135_0,1,2021-07-23 11:36:37,2021-07-23 11:41:06,8889.9,0.074722,118.973
790064,78007B,宁CF06997_4,1,2021-07-23 11:37:55,2021-07-23 11:42:48,8889.9,0.081389,109.227
790064,78007B,鲁A0D0B0_0,1,2021-07-23 11:35:00,2021-07-23 11:52:46,8889.9,0.296111,30.022
790064,78007B,甘NCP218_0,1,2021-07-23 11:52:05,2021-07-23 11:56:37,8889.9,0.075556,117.66
790064,78007B,宁DFM006_0,1,2021-07-23 11:52:44,2021-07-23 11:56:56,8889.9,0.07,126.999
790064,78007B,宁AZ125K_0,1,2021-07-23 12:12:36,2021-07-23 12:17:49,8889.9,0.086944,102.249
790064,78007B,宁DDH030_0,1,2021-07-23 12:17:33,2021-07-23 12:22:14,8889.9,0.078056,113.891
790064,78007B,宁A5Y176_0,1,2021-07-23 12:28:00,2021-07-23 12:33:01,8889.9,0.083611,106.325
790064,78007B,宁DFR980_0,1,2021-07-23 12:34:19,2021-07-23 12:38:42,8889.9,0.073056,121.686
790064,78007B,宁AM977Q_0,1,2021-07-23 12:39:32,2021-07-23 12:43:20,8889.9,0.063333,140.368
790064,78007B,川A3DJ56_0,1,2021-07-23 12:50:19,2021-07-23 12:54:47,8889.9,0.074444,119.417
790064,78007B,宁A152J3_0,1,2021-07-23 13:06:30,2021-07-23 13:11:02,8889.9,0.075556,117.66
790064,78007B,甘A097B9_0,1,2021-07-23 13:39:34,2021-07-23 13:43:50,8889.9,0.071111,125.014
790064,78007B,宁A07V92_0,1,2021-07-23 13:53:32,2021-07-23 13:58:00,8889.9,0.074444,119.417
790064,78007B,宁AZ281Y_0,11,2021-07-23 13:56:51,2021-07-23 14:01:03,8889.9,0.07,126.999
790064,78007B,渝AQ228G_0,1,2021-07-23 13:58:13,2021-07-23 14:02:33,8889.9,0.072222,123.091
790064,78007B,宁BCE068_0,1,2021-07-23 13:59:52,2021-07-23 14:04:18,8889.9,0.073889,120.314
790064,78007B,宁AF17588_4,1,2021-07-23 14:05:34,2021-07-23 14:09:40,8889.9,0.068333,130.097
790064,78007B,宁A5SB00_0,11,2021-07-23 14:27:59,2021-07-23 14:33:53,8889.9,0.098333,90.406
