entry_id,exit_id,vehicle_id,vehicle_type,start_time,end_time,distance,travel_time,speed
780079,790062,冀J9V851_1,16,2021-06-02 05:19:45,2021-06-02 05:26:13,6841.52,0.107778,63.478
780079,790062,辽A02SW8_0,1,2021-06-02 08:52:03,2021-06-02 08:58:29,6841.52,0.107222,63.807
780079,790062,宁AD08509_4,1,2021-06-02 10:04:15,2021-06-02 10:09:23,6841.52,0.085556,79.965
780079,790062,宁B4B818_0,1,2021-06-02 10:39:57,2021-06-02 10:45:27,6841.52,0.091667,74.634
780079,790062,宁A8DB51_0,1,2021-06-02 11:51:59,2021-06-02 11:57:32,6841.52,0.0925,73.962
780079,790062,宁A3HK19_0,11,2021-06-02 14:52:09,2021-06-02 14:58:12,6841.52,0.100833,67.85
780079,790062,宁BBB466_0,11,2021-06-02 23:18:08,2021-06-02 23:24:10,6841.52,0.100556,68.037
780079,790062,宁AKU319_0,1,2021-06-06 17:26:05,2021-06-06 17:30:49,6841.52,0.078889,86.723
780079,790062,蒙CB3106_0,1,2021-06-06 18:01:33,2021-06-06 18:06:45,6841.52,0.086667,78.94
780079,790062,宁AHM465_0,1,2021-06-06 20:25:53,2021-06-06 20:30:48,6841.52,0.081944,83.49
780079,790062,蒙C29166_1,16,2021-06-06 21:38:43,2021-06-06 21:44:18,6841.52,0.093056,73.52
780079,790062,苏ELD280_1,12,2021-06-07 01:17:52,2021-06-07 01:25:43,6841.52,0.130833,52.292
780079,790062,宁AQ838S_0,11,2021-06-07 06:38:28,2021-06-07 06:45:46,6841.52,0.121667,56.232
780079,790062,宁A658A3_0,1,2021-06-07 09:04:12,2021-06-07 09:09:20,6841.52,0.085556,79.965
780079,790062,陕AJ7C02_0,1,2021-06-07 09:05:11,2021-06-07 09:10:28,6841.52,0.088056,77.695
780079,790062,冀EM9271_1,16,2021-06-07 14:28:06,2021-06-07 14:34:29,6841.52,0.106389,64.307
780079,790062,蒙LJR985_0,1,2021-06-07 15:40:59,2021-06-07 15:46:37,6841.52,0.093889,72.868
780079,790062,蒙LPA603_0,1,2021-06-07 15:03:37,2021-06-07 15:09:26,6841.52,0.096944,70.572
780079,790062,晋MU7794_1,12,2021-06-07 15:03:20,2021-06-07 15:09:36,6841.52,0.104444,65.504
780079,790062,宁BN8133_0,11,2021-06-07 16:17:10,2021-06-07 16:23:23,6841.52,0.103611,66.031
780079,790062,豫NM7937_1,16,2021-06-07 16:17:42,2021-06-07 16:23:26,6841.52,0.095556,71.597
780079,790062,宁AC3337_1,13,2021-06-07 17:27:01,2021-06-07 17:33:13,6841.52,0.103333,66.208
780079,790062,宁AZ030V_0,1,2021-06-07 19:16:36,2021-06-07 19:21:48,6841.52,0.086667,78.94
780079,790062,蒙CH7920_0,1,2021-06-07 19:52:26,2021-06-07 19:57:18,6841.52,0.081111,84.348
