vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁AHX815_0,1,b'2021-08-19 09:28:34',1,17.876785397529602,17.5832998752594
宁A3R276_0,1,b'2021-08-19 09:30:21',0,21.397549510002136,16.883339881896973
宁AC896G_0,1,b'2021-08-19 09:30:42',0,17.068668007850647,16.61664068698883
宁AC233S_0,1,b'2021-08-19 09:30:46',1,18.467286229133606,18.133320808410645
陕KF7033_1,16,b'2021-08-19 09:34:43',1,25.302534699440002,25.48331916332245
宁AA150N_0,11,b'2021-08-19 09:35:49',0,22.22491979598999,20.73330044746399
宁A598H2_0,1,b'2021-08-19 09:37:09',0,19.960947632789612,20.516640543937683
宁AA758U_0,1,b'2021-08-19 09:37:35',0,19.561695456504822,20.349959135055542
宁AYR587_0,1,b'2021-08-19 09:39:42',0,18.39135468006134,17.53331959247589
宁A85579_0,11,b'2021-08-19 09:45:24',0,22.631240487098694,20.23337960243225
宁AE3571_1,16,b'2021-08-19 09:50:16',1,25.276649594306946,26.20001971721649
宁A0KN75_0,1,b'2021-08-19 09:54:20',0,17.936623692512512,16.73327922821045
宁A726S2_0,1,b'2021-08-19 09:59:16',0,17.92992889881134,19.216679334640503
宁A22750_0,1,b'2021-08-19 10:04:55',0,17.19596564769745,16.000020503997803
宁AS559T_0,11,b'2021-08-19 10:05:29',0,19.60048198699951,18.533340096473694
宁A52706_1,12,b'2021-08-19 10:07:27',0,23.58104109764099,23.58329951763153
宁CB6727_0,11,b'2021-08-19 10:08:28',1,21.249473690986633,19.816680550575256
宁A0F753_0,1,b'2021-08-19 10:09:18',0,19.42000150680542,20.050020217895508
豫L821A2_0,1,b'2021-08-19 10:10:07',1,17.839123606681824,18.483359813690186
宁A361A1_0,1,b'2021-08-19 10:19:27',0,19.351438879966736,16.90008044242859
豫HJ4350_1,16,b'2021-08-19 10:21:45',1,24.33406412601471,33.83334159851074
豫HR2695_1,16,b'2021-08-19 10:22:09',1,25.042313933372498,33.31661939620972
宁A203Z3_0,1,b'2021-08-19 10:32:02',1,18.677460551261902,17.866739630699158
宁AG015S_0,1,b'2021-08-19 10:36:58',0,20.242558121681213,20.96664011478424
宁BR8796_0,1,b'2021-08-19 10:50:06',1,18.757819533348083,17.5832998752594
宁A6GR89_0,11,b'2021-08-19 10:51:52',0,21.064336895942688,19.91663932800293
晋AG9676_1,16,b'2021-08-19 11:04:59',1,24.980921745300293,28.8332998752594
宁A597F1_0,1,b'2021-08-19 11:06:07',0,18.554722666740417,22.816620469093323
宁A1HJ82_0,1,b'2021-08-19 11:15:39',0,18.7061208486557,20.783339738845825
宁A8V069_0,1,b'2021-08-19 11:18:12',0,18.184788823127747,29.06663954257965
宁BCM998_0,1,b'2021-08-19 11:20:39',0,17.964195013046265,19.450020790100098
宁A39Q86_0,11,b'2021-08-19 11:22:56',0,21.81316316127777,26.466659903526306
津D04930_0,1,b'2021-08-19 11:26:42',1,18.305615186691284,45.69995999336243
宁APT372_0,1,b'2021-08-19 11:27:04',0,17.65564262866974,17.89997935295105
冀J6X386_1,16,b'2021-08-19 11:31:16',0,28.844119906425476,26.25
渝FGD565_0,1,b'2021-08-19 11:34:59',1,17.934560179710388,17.09994077682495
宁A873Y3_0,1,b'2021-08-19 11:43:27',1,17.93270766735077,20.716620683670044
晋L1F160_0,1,b'2021-08-19 11:44:12',1,18.99196207523346,20.833320021629333
宁A7H539_0,1,b'2021-08-19 11:56:27',0,16.87116265296936,17.58336067199707
陕KH6909_1,16,b'2021-08-19 11:59:16',1,24.915636777877808,23.650020360946655
宁AK097D_0,1,b'2021-08-19 12:02:47',1,18.150692582130432,16.683300733566284
宁AJ5188_1,12,b'2021-08-19 12:06:52',0,22.303723096847534,23.166720271110535
苏GA8200_1,16,b'2021-08-19 12:10:53',1,24.66139018535614,23.783340454101562
宁A6927G_0,1,b'2021-08-19 12:12:17',0,18.09982180595398,35.76665997505188
宁B92658_1,16,b'2021-08-19 12:14:45',1,25.1900714635849,26.133359670639038
甘AG8U12_0,1,b'2021-08-19 12:17:51',1,18.25149357318878,21.399959921836853
鲁J536M0_0,1,b'2021-08-19 12:18:31',1,18.317272067070007,16.383360028266907
冀C67955_1,16,b'2021-08-19 12:21:20',1,24.613593220710754,23.94995927810669
辽A7A31N_0,1,b'2021-08-19 12:22:14',1,18.574338555336,18.43332052230835
宁A002E1_0,11,b'2021-08-19 12:25:35',0,21.36267900466919,23.816699981689453
宁AM869Z_0,1,b'2021-08-19 12:25:44',0,18.488754630088806,16.750019788742065
宁AD980M_0,1,b'2021-08-19 12:26:47',1,18.003260493278503,18.166619539260864
冀EV8925_1,16,b'2021-08-19 12:29:03',1,25.474711060523987,30.166679620742798
宁AC3780_0,1,b'2021-08-19 12:30:53',0,15.648239850997925,18.316619396209717
宁AB2004_0,1,b'2021-08-19 12:37:06',1,18.41193437576294,16.433399319648743
浙BVQ369_0,1,b'2021-08-19 12:48:19',0,18.84782910346985,18.033360242843628
宁A7AK67_0,11,b'2021-08-19 12:48:23',0,21.539082527160645,20.550000071525574
宁B98280_1,16,b'2021-08-19 12:50:20',1,24.93130624294281,25.416719913482666
宁AHK869_0,1,b'2021-08-19 12:51:23',0,18.20142924785614,18.54996085166931
宁AZ369P_0,1,b'2021-08-19 12:56:32',0,20.596187710762024,17.516639828681946
陕K4150X_1,1,b'2021-08-19 12:59:18',1,18.288035988807678,17.349960207939148
宁AG909A_0,1,b'2021-08-19 13:00:28',1,18.489882946014404,18.133379817008972
宁C51081_1,16,b'2021-08-19 13:04:43',1,25.329798460006714,26.999999284744263
浙A2Q009_1,11,b'2021-08-19 13:07:33',0,26.75038754940033,27.94998049736023
宁AL629W_0,1,b'2021-08-19 13:11:16',0,18.310493230819702,21.833340525627136
鄂FNQ712_1,16,b'2021-08-19 13:13:04',1,25.45642912387848,25.716660618782043
苏A0T7B9_0,11,b'2021-08-19 13:13:47',0,22.80167520046234,20.84999978542328
宁A28H95_0,1,b'2021-08-19 13:21:29',0,17.31458008289337,16.949999928474426
宁AL332J_0,1,b'2021-08-19 13:26:30',0,21.682108640670776,17.01672077178955
宁A1667J_0,1,b'2021-08-19 13:27:47',0,17.15841293334961,17.21664011478424
宁AUF258_0,1,b'2021-08-19 13:29:00',1,18.78958761692047,58.98329973220825
宁AUK603_0,11,b'2021-08-19 13:38:25',0,22.235164046287537,20.68332016468048
豫KE2589_1,16,b'2021-08-19 13:40:41',1,25.266525149345398,25.216619968414307
陕EF2317_1,16,b'2021-08-19 13:44:25',1,25.623541474342346,21.766680479049683
宁A4E883_0,1,b'2021-08-19 13:57:26',0,19.203686714172363,20.93328058719635
宁CD1669_1,12,b'2021-08-19 14:02:18',1,24.762466549873352,25.84998071193695
宁A276J8_0,1,b'2021-08-19 14:04:18',0,23.22133183479309,22.466699481010437
宁BK7078_0,1,b'2021-08-19 14:11:28',1,18.975741863250732,18.483300805091858
宁AK1898_1,16,b'2021-08-19 14:12:03',0,27.1096533536911,25.51661968231201
宁A2540A_0,1,b'2021-08-19 14:13:11',1,19.085903763771057,17.54994034767151
宁E71180_1,16,b'2021-08-19 14:13:33',0,24.742761254310608,21.16667926311493
宁CU2568_0,1,b'2021-08-19 14:19:22',1,18.86245608329773,18.600000143051147
宁A9129A_0,1,b'2021-08-19 14:22:44',1,18.793607354164124,16.516619324684143
宁A2128C_0,1,b'2021-08-19 14:28:11',1,19.188074469566345,16.966620683670044
晋M78662_9,16,b'2021-08-19 14:30:20',0,25.25619685649872,27.966660261154175
宁B3A365_0,1,b'2021-08-19 14:32:28',1,19.127590656280518,17.266679406166077
宁A7JL59_0,1,b'2021-08-19 14:35:58',0,18.46551239490509,18.200039863586426
宁ARN513_0,11,b'2021-08-19 14:37:24',0,22.36907422542572,19.950000643730164
宁A0LU59_0,11,b'2021-08-19 14:46:30',1,21.388843059539795,18.733320236206055
宁A20H55_0,1,b'2021-08-19 14:48:43',1,19.403514862060547,21.833340525627136
宁A9693L_0,1,b'2021-08-19 14:50:16',0,18.16670000553131,17.53331959247589
豫CR5098_1,12,b'2021-08-19 14:53:31',0,23.368908762931824,22.716659903526306
鲁Q098LH_1,16,b'2021-08-19 14:54:58',1,26.179123520851135,22.649999856948853
陕K60N69_0,1,b'2021-08-19 14:56:55',1,18.997233510017395,17.33333945274353
宁BE3077_0,1,b'2021-08-19 14:58:37',1,18.50627303123474,41.84999942779541
冀A3963W_1,13,b'2021-08-19 14:59:20',1,24.492453932762146,23.66663932800293
宁A9870G_0,1,b'2021-08-19 15:02:31',0,18.76672089099884,17.483339309692383
陕A0X9S6_0,1,b'2021-08-19 15:13:58',1,18.460823893547058,17.233319878578186
宁AYF527_0,1,b'2021-08-19 15:15:07',0,17.869039177894592,18.316680192947388
蒙C33653_1,16,b'2021-08-19 15:18:33',0,23.24871003627777,23.46665918827057
宁A87E09_0,1,b'2021-08-19 15:25:06',0,18.096311688423157,17.799959778785706
宁A0Z119_0,1,b'2021-08-19 15:30:16',1,18.309536576271057,16.633320450782776
宁A5FH22_0,1,b'2021-08-19 15:35:37',0,19.702840447425842,19.083300232887268
宁E60383_0,1,b'2021-08-19 15:41:05',1,18.258116841316223,17.516700625419617
宁AK5897_1,16,b'2021-08-19 15:41:29',1,25.01500904560089,23.766660690307617
鲁A93PM7_0,1,b'2021-08-19 15:48:23',1,18.615167140960693,17.21664011478424
陕KD1853_1,13,b'2021-08-19 15:53:01',0,30.073646306991577,27.45005965232849
宁A17M39_0,1,b'2021-08-19 16:09:42',1,18.589444756507874,21.116700768470764
宁A8GG93_0,11,b'2021-08-19 16:13:55',1,21.608203053474426,25.616639256477356
宁A0R260_0,1,b'2021-08-19 16:17:12',0,19.154089093208313,21.700079441070557
川A13VY4_0,1,b'2021-08-19 16:17:28',0,17.431209683418274,17.66670048236847
宁CKE323_0,11,b'2021-08-19 16:25:45',1,21.237090826034546,116.24994277954102
陕KE0305_1,12,b'2021-08-19 16:25:50',1,24.23889398574829,26.016719341278076
宁AC212B_0,1,b'2021-08-19 16:28:50',1,18.225733637809753,17.800020575523376
陕ACZ677_1,12,b'2021-08-19 16:32:03',0,23.468826413154602,23.06670069694519
宁A3X728_0,1,b'2021-08-19 16:32:49',1,18.811556696891785,18.316680192947388
陕J103R9_0,11,b'2021-08-19 16:37:17',1,21.762598156929016,19.550040364265442
宁A0052E_0,1,b'2021-08-19 16:46:20',0,16.00433886051178,27.116639614105225
晋JW8579_1,13,b'2021-08-19 16:49:29',1,24.14801001548767,26.29998028278351
宁B98490_1,16,b'2021-08-19 16:49:39',0,24.78498101234436,23.416680693626404
宁AVT801_0,1,b'2021-08-19 17:00:41',0,17.54966676235199,17.5832998752594
豫AM5W13_0,1,b'2021-08-19 17:02:07',0,16.98109209537506,17.233319878578186
宁AL2252_1,12,b'2021-08-19 17:04:18',1,24.124860763549805,23.09999942779541
青HB8008_0,1,b'2021-08-19 17:06:58',0,18.505699038505554,18.6666601896286
宁AJ8150_1,14,b'2021-08-19 17:10:48',1,23.33895742893219,24.783300161361694
宁AK2975_1,16,b'2021-08-19 17:25:20',1,24.966444969177246,26.45003914833069
宁AJZ160_0,1,b'2021-08-19 17:25:29',0,18.713995814323425,18.450059294700623
冀C8H807_0,1,b'2021-08-19 17:26:31',1,18.101255893707275,17.916659116744995
津C91773_1,13,b'2021-08-19 17:33:12',0,27.06540048122406,25.833359956741333
宁AS867W_0,11,b'2021-08-19 17:42:08',0,19.490659832954407,19.099979996681213
宁A1631B_0,1,b'2021-08-19 17:44:30',1,18.061158657073975,16.28339946269989
甘M08341_0,1,b'2021-08-19 17:48:26',1,18.34901511669159,18.15000057220459
陕J243B8_0,1,b'2021-08-19 17:54:32',0,19.67671573162079,18.899999856948853
宁AS6215_0,1,b'2021-08-19 17:54:43',0,18.737899661064148,18.983400464057922
晋J2886X_9,16,b'2021-08-19 17:55:40',1,24.949668645858765,26.800079941749573
晋J2979X_1,16,b'2021-08-19 17:55:43',0,26.33192002773285,26.833319664001465
豫D99U25_0,1,b'2021-08-19 18:01:35',1,18.142016530036926,19.083300232887268
鲁GU7906_1,16,b'2021-08-19 18:01:53',0,35.44275999069214,66.566641330719
