vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁AHX815_0,1,b'2021-08-19 09:28:34',1,17.69285202,17.58329988
宁A3R276_0,1,b'2021-08-19 09:30:21',0,19.5948118,16.88333988
宁AC896G_0,1,b'2021-08-19 09:30:42',0,16.73727572,16.61664069
宁AC233S_0,1,b'2021-08-19 09:30:46',1,18.46924603,18.13332081
陕KF7033_1,16,b'2021-08-19 09:34:43',1,25.11722267,25.48331916
宁AA150N_0,11,b'2021-08-19 09:35:49',0,20.88158369,20.73330045
宁A598H2_0,1,b'2021-08-19 09:37:09',0,18.23338687,20.51664054
宁AA758U_0,1,b'2021-08-19 09:37:35',0,19.60867703,20.34995914
宁AYR587_0,1,b'2021-08-19 09:39:42',0,17.88714588,17.53331959
宁A85579_0,11,b'2021-08-19 09:45:24',0,20.81512034,20.2333796
宁AE3571_1,16,b'2021-08-19 09:50:16',1,25.06440818,26.20001972
宁A0KN75_0,1,b'2021-08-19 09:54:20',0,16.7505759,16.73327923
宁A726S2_0,1,b'2021-08-19 09:59:16',0,17.58757174,19.21667933
宁A22750_0,1,b'2021-08-19 10:04:55',0,16.94721401,16.0000205
宁AS559T_0,11,b'2021-08-19 10:05:29',0,19.02696669,18.5333401
宁A52706_1,12,b'2021-08-19 10:07:27',0,25.06704032,23.58329952
宁CB6727_0,11,b'2021-08-19 10:08:28',1,21.56356931,19.81668055
宁A0F753_0,1,b'2021-08-19 10:09:18',0,18.71043742,20.05002022
豫L821A2_0,1,b'2021-08-19 10:10:07',1,18.11133564,18.48335981
宁A361A1_0,1,b'2021-08-19 10:19:27',0,18.79554927,16.90008044
豫HJ4350_1,16,b'2021-08-19 10:21:45',1,24.59834397,33.8333416
豫HR2695_1,16,b'2021-08-19 10:22:09',1,24.85636711,33.3166194
宁A203Z3_0,1,b'2021-08-19 10:32:02',1,18.25522006,17.86673963
宁AG015S_0,1,b'2021-08-19 10:36:58',0,19.76108193,20.96664011
宁BR8796_0,1,b'2021-08-19 10:50:06',1,18.173756,17.58329988
宁A6GR89_0,11,b'2021-08-19 10:51:52',0,21.24898016,19.91663933
晋AG9676_1,16,b'2021-08-19 11:04:59',1,25.07035553,28.83329988
宁A597F1_0,1,b'2021-08-19 11:06:07',0,18.09867918,22.81662047
宁A1HJ82_0,1,b'2021-08-19 11:15:39',0,19.6852541,20.78333974
宁A8V069_0,1,b'2021-08-19 11:18:12',0,17.88228393,29.06663954
宁BCM998_0,1,b'2021-08-19 11:20:39',0,18.16443264,19.45002079
宁A39Q86_0,11,b'2021-08-19 11:22:56',0,18.89949024,26.4666599
津D04930_0,1,b'2021-08-19 11:26:42',1,18.09456289,45.69995999
宁APT372_0,1,b'2021-08-19 11:27:04',0,17.06235051,17.89997935
冀J6X386_1,16,b'2021-08-19 11:31:16',0,26.53133154,26.25
渝FGD565_0,1,b'2021-08-19 11:34:59',1,18.28943789,17.09994078
宁A873Y3_0,1,b'2021-08-19 11:43:27',1,18.11832547,20.71662068
晋L1F160_0,1,b'2021-08-19 11:44:12',1,18.33920896,20.83332002
宁A7H539_0,1,b'2021-08-19 11:56:27',0,17.14443505,17.58336067
陕KH6909_1,16,b'2021-08-19 11:59:16',1,24.58015144,23.65002036
宁AK097D_0,1,b'2021-08-19 12:02:47',1,18.24205399,16.68330073
宁AJ5188_1,12,b'2021-08-19 12:06:52',0,22.19199479,23.16672027
苏GA8200_1,16,b'2021-08-19 12:10:53',1,24.55513179,23.78334045
宁A6927G_0,1,b'2021-08-19 12:12:17',0,18.31166804,35.76665998
宁B92658_1,16,b'2021-08-19 12:14:45',1,24.83951747,26.13335967
甘AG8U12_0,1,b'2021-08-19 12:17:51',1,18.10323179,21.39995992
