vehicle_id,vehicle type,time,first appear,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁AL1576_1,14,b'2021-07-23 07:59:52',0,33.66195202,34.13328052,1.87201,3.1416411,5.1697836,9.650588,15.783886,1.84998,3.0666602,5.23332,9.04998,14.93334
蒙K1269H_0,1,b'2021-07-23 08:05:15',0,27.14258373,30.01661897,1.5745606,2.5923085,3.9440749,7.1306663,12.405939,1.63332,2.85,4.45002,8.2166395,12.86664
宁A5106K_0,1,b'2021-07-23 08:10:24',1,27.65097141,25.36668062,1.5364617,2.5934427,4.015006,7.4515004,12.87789,1.3333199,2.26668,3.96666,6.7666802,11.03334
宁BQ1268_0,1,b'2021-07-23 08:11:57',1,28.01929593,27.99996078,1.5160372,2.6150193,4.033352,7.574721,13.175849,1.48332,2.6666398,4.33332,7.5,12.01668
宁AX956B_0,1,b'2021-07-23 08:13:24',1,27.5886029,26.01671934,1.544836,2.5738215,4.120002,7.531133,12.812969,1.38336,2.50002,3.8999999,7.13334,11.1
宁A1DK38_0,11,b'2021-07-23 08:14:26',0,29.11404133,28.75002086,1.5785649,2.700424,4.23698,8.036924,13.726011,1.61664,2.80002,4.39998,7.90002,12.03336
宁A1W667_0,1,b'2021-07-23 08:14:29',1,27.70442605,38.48334074,1.538202,2.5942447,4.0368943,7.4868884,12.897514,1.48332,2.59998,4.08336,7.4833198,22.833359
宁AZA775_0,1,b'2021-07-23 08:14:33',1,27.7491796,38.45003843,1.5335281,2.5932777,4.0557775,7.525254,12.946877,1.45002,2.6333401,4.09998,7.4500203,22.816679
宁A577R3_0,1,b'2021-07-23 08:16:35',1,27.75994956,46.25004172,1.5567931,2.6087406,4.1045623,7.51624,12.833699,1.45002,2.58336,4.03332,7.3500004,30.833342
宁AK8927_1,13,b'2021-07-23 08:18:01',0,35.14080763,34.78331923,1.8288187,3.3636935,5.3079066,10.112598,17.036617,1.84998,3.1166399,5.20002,9.36666,15.250019
宁BW1923_0,1,b'2021-07-23 08:24:54',1,27.9098171,28.14996064,1.5481832,2.6490707,4.035647,7.5139813,13.057923,1.5499799,2.6333401,4.11666,7.71666,12.13332
宁CE3067_1,13,b'2021-07-23 08:25:41',0,34.77878809,34.78331923,1.9159243,3.2651577,5.323848,10.056733,16.637941,1.8833401,3.1499999,5.18334,9.34998,15.21666
蒙CQB789_0,1,b'2021-07-23 08:26:06',1,28.05626571,30.93330145,1.5472875,2.6563199,4.0637083,7.581243,13.15366,1.63332,2.86668,6.43332,7.5833397,12.41664
宁BAV133_0,1,b'2021-07-23 08:28:10',1,27.8963542,38.13330173,1.5555224,2.6233456,4.1374464,7.5810566,12.960718,1.36668,2.3833199,3.8333397,6.94998,23.59998
宁A1875C_0,1,b'2021-07-23 08:34:03',1,28.08534443,27.96666026,1.5613482,2.6676152,4.0802298,7.652803,13.176227,1.48332,2.6833198,4.2166796,7.4833198,12.100019
蒙CK6897_0,11,b'2021-07-23 08:43:14',0,31.01181507,37.30002165,1.6867796,2.8762038,4.5440784,8.764912,14.719587,1.60002,2.78334,4.41666,8.05002,20.44998
