vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁A39279_0,1,b'2021-08-24 09:45:27',0,17.050588130950928,21.983279585838318,1.6435854,5.6091866,3.9843025,4.142275,1.3581389,1.71666,6.15,8.66664,4.24998,1.1999999
陕AV6510_1,15,b'2021-08-24 09:48:14',1,24.52009677886963,65.83331823348999,2.4094632,8.130253,5.8789463,6.1223702,1.8409227,2.53332,8.08332,46.199997,7.15002,1.86666
宁ANJ170_0,1,b'2021-08-24 09:48:23',1,18.457067012786865,17.01665997505188,1.7772365,6.226238,4.3241644,4.5139422,1.4300919,1.61664,5.59998,4.2166796,4.28334,1.30002
陕ED2875_1,12,b'2021-08-24 09:51:45',1,25.305091738700867,22.95006036758423,2.4905052,8.304806,6.052066,6.302102,1.8945826,2.46666,7.5333605,5.58336,5.68332,1.68336
苏C753HW_0,1,b'2021-08-24 09:56:43',0,18.73309314250946,17.166659832000732,1.8369627,6.3014154,4.413739,4.602229,1.4165751,1.61664,5.7,4.09998,4.51668,1.2333599
宁A4R126_0,1,b'2021-08-24 09:57:13',0,17.207990884780884,17.24999964237213,1.7007369,5.677002,3.9758763,4.1410108,1.3943012,1.76664,5.8833604,4.13334,4.18332,1.28334
宁AN6555_0,1,b'2021-08-24 10:00:34',0,17.729251384735107,18.26663911342621,1.7360877,5.9211535,4.282041,4.397099,1.3587432,1.81668,6.04998,4.36668,4.71666,1.31664
蒙CHB508_0,11,b'2021-08-24 10:05:16',1,21.34320080280304,18.98333966732025,2.1401792,7.1579676,5.1786447,5.3109293,1.599076,1.8833401,6.53334,4.6000204,4.69998,1.26666
宁A5GN05_0,11,b'2021-08-24 10:06:12',0,25.44499933719635,23.38338017463684,2.4263546,8.269955,6.1807485,6.3559976,1.8524853,2.28336,7.6499996,5.65002,6.03336,1.76664
宁BE6997_0,1,b'2021-08-24 10:06:40',0,19.273005723953247,23.000040650367737,1.9282482,6.4175014,4.628662,4.7591515,1.4338293,2.26668,7.63332,5.55,5.86668,1.68336
宁A22S91_0,1,b'2021-08-24 10:08:15',0,19.35745596885681,18.283259868621826,1.9468673,6.4409966,4.6512017,4.782064,1.4453998,1.78332,6.3666596,4.4833198,4.33332,1.31664
陕JH6387_0,1,b'2021-08-24 10:09:14',1,18.229807019233704,19.60002064704895,1.8199562,6.0870633,4.4071302,4.5358047,1.3692478,1.81668,6.61668,4.86666,4.9500003,1.35
宁A6097C_0,1,b'2021-08-24 10:15:29',1,18.39468240737915,16.73327922821045,1.8309603,6.162166,4.4221454,4.538888,1.374261,1.71666,5.46666,4.09998,4.18332,1.26666
浙A0U023_1,12,b'2021-08-24 10:19:12',0,24.141774773597717,24.71669912338257,2.3984382,7.984693,5.8839173,6.0338993,1.8139474,2.3833199,7.8166804,6.18336,6.43332,1.9000201
