vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁A59063_0,11,b'2021-08-18 20:02:29',0,32.40264058113098,31.349998712539673
宁ASC600_0,1,b'2021-08-18 20:06:33',1,21.95784330368042,22.53335952758789
宁AZ708R_0,11,b'2021-08-18 21:21:04',0,26.464701890945435,28.06662082672119
宁A5U199_0,11,b'2021-08-18 21:30:54',1,23.360368609428406,19.583340883255005
冀JR6501_1,16,b'2021-08-18 21:41:02',0,22.692207098007202,23.249940276145935
宁A51191_1,12,b'2021-08-18 22:04:02',1,22.631821632385254,21.716639399528503
鄂FNR852_1,16,b'2021-08-18 22:10:19',1,23.034961223602295,20.183279514312744
津CD0979_1,16,b'2021-08-18 23:10:56',0,22.764936089515686,23.200020790100098
宁A3M590_0,1,b'2021-08-19 01:11:39',1,22.215124368667603,23.850059509277344
津AT0666_1,16,b'2021-08-19 07:03:52',0,22.59270429611206,22.399980425834656
宁A89F85_0,1,b'2021-08-19 07:15:04',1,22.096232771873474,21.083280444145203
冀A9929Z_1,16,b'2021-08-19 07:34:38',0,22.22239851951599,23.500020503997803
冀A0500W_1,16,b'2021-08-19 07:36:03',0,21.280603408813477,21.466680765151978
宁A72830_0,11,b'2021-08-19 08:13:24',1,23.423112630844116,19.816680550575256
晋BAA047_0,1,b'2021-08-19 09:31:46',1,21.8476402759552,23.249999284744263
宁AS537G_0,11,b'2021-08-19 09:54:43',0,26.499128937721252,21.61668062210083
宁AC689B_0,1,b'2021-08-19 10:17:47',1,22.03353703022003,24.449999928474426
宁BAD968_0,11,b'2021-08-19 10:35:31',0,25.810232162475586,28.54997992515564
宁AX770R_0,11,b'2021-08-19 10:54:43',1,23.131821155548096,23.566680550575256
宁AK1991_1,16,b'2021-08-19 10:55:58',1,22.422480583190918,22.166699767112732
冀JR6553_1,16,b'2021-08-19 11:19:07',1,21.555322408676147,22.98336088657379
冀A0891W_1,16,b'2021-08-19 11:52:49',1,22.556966543197632,22.78331995010376
宁A59063_0,11,b'2021-08-19 12:10:40',0,32.715725898742676,33.116698265075684
冀RF3100_1,16,b'2021-08-19 12:30:33',1,22.437736988067627,23.63334059715271
冀JR6503_1,16,b'2021-08-19 12:43:30',0,22.75825023651123,22.38330066204071
冀RF3099_1,16,b'2021-08-19 12:49:16',0,23.003774285316467,23.050019145011902
宁AK3795_1,16,b'2021-08-19 12:54:16',1,22.63733983039856,21.916619539260864
鲁JE6660_1,16,b'2021-08-19 12:55:29',0,22.197582721710205,22.466699481010437
冀JR6515_1,16,b'2021-08-19 13:21:08',0,22.277871966362,22.98330008983612
冀JR6562_1,16,b'2021-08-19 13:22:17',0,24.500001668930054,23.899980783462524
宁AC355E_0,11,b'2021-08-19 13:52:41',0,24.606127738952637,24.366660118103027
