vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁A59063_0,11,b'2021-08-18 20:02:29',0,32.25186824798584,31.349998712539673
宁ASC600_0,1,b'2021-08-18 20:06:33',1,21.91463828086853,22.53335952758789
宁AZ708R_0,11,b'2021-08-18 21:21:04',0,24.676331877708435,28.06662082672119
宁A5U199_0,11,b'2021-08-18 21:30:54',1,23.67244005203247,19.583340883255005
冀JR6501_1,16,b'2021-08-18 21:41:02',0,22.243269681930542,23.249940276145935
宁A51191_1,12,b'2021-08-18 22:04:02',1,22.573018670082092,21.716639399528503
鄂FNR852_1,16,b'2021-08-18 22:10:19',1,23.50052297115326,20.183279514312744
津CD0979_1,16,b'2021-08-18 23:10:56',0,23.20396363735199,23.200020790100098
宁A3M590_0,1,b'2021-08-19 01:11:39',1,22.92449176311493,23.850059509277344
津AT0666_1,16,b'2021-08-19 07:03:52',0,21.98171317577362,22.399980425834656
宁A89F85_0,1,b'2021-08-19 07:15:04',1,22.45746910572052,21.083280444145203
冀A9929Z_1,16,b'2021-08-19 07:34:38',0,22.032519578933716,23.500020503997803
冀A0500W_1,16,b'2021-08-19 07:36:03',0,21.556225419044495,21.466680765151978
宁A72830_0,11,b'2021-08-19 08:13:24',1,23.77440869808197,19.816680550575256
晋BAA047_0,1,b'2021-08-19 09:31:46',1,21.359458565711975,23.249999284744263
宁AS537G_0,11,b'2021-08-19 09:54:43',0,25.794362425804138,21.61668062210083
宁AC689B_0,1,b'2021-08-19 10:17:47',1,22.569939494132996,24.449999928474426
宁BAD968_0,11,b'2021-08-19 10:35:31',0,26.359400153160095,28.54997992515564
宁AX770R_0,11,b'2021-08-19 10:54:43',1,24.269510507583618,23.566680550575256
宁AK1991_1,16,b'2021-08-19 10:55:58',1,22.688360810279846,22.166699767112732
冀JR6553_1,16,b'2021-08-19 11:19:07',1,21.821942925453186,22.98336088657379
冀A0891W_1,16,b'2021-08-19 11:52:49',1,22.763291001319885,22.78331995010376
宁A59063_0,11,b'2021-08-19 12:10:40',0,32.872159481048584,33.116698265075684
冀RF3100_1,16,b'2021-08-19 12:30:33',1,22.22175657749176,23.63334059715271
冀JR6503_1,16,b'2021-08-19 12:43:30',0,22.939218878746033,22.38330066204071
冀RF3099_1,16,b'2021-08-19 12:49:16',0,22.771276831626892,23.050019145011902
宁AK3795_1,16,b'2021-08-19 12:54:16',1,23.134857416152954,21.916619539260864
鲁JE6660_1,16,b'2021-08-19 12:55:29',0,22.202961444854736,22.466699481010437
冀JR6515_1,16,b'2021-08-19 13:21:08',0,22.77039349079132,22.98330008983612
冀JR6562_1,16,b'2021-08-19 13:22:17',0,24.945117831230164,23.899980783462524
宁AC355E_0,11,b'2021-08-19 13:52:41',0,25.294543504714966,24.366660118103027
冀J9A373_1,16,b'2021-08-19 14:46:01',0,23.439297080039978,24.166679978370667
冀J0B378_1,15,b'2021-08-19 14:50:10',0,22.949010729789734,23.566680550575256
冀J2B818_1,15,b'2021-08-19 15:00:42',0,25.075330138206482,22.283279299736023
冀J7P710_1,15,b'2021-08-19 15:32:27',1,22.86637544631958,23.399999141693115
冀JR6563_1,16,b'2021-08-19 15:51:59',1,22.56272256374359,22.53335952758789
冀JR6559_1,16,b'2021-08-19 15:54:17',0,23.821327686309814,23.38331937789917
豫A09FQ8_0,11,b'2021-08-19 16:29:44',1,23.298583030700684,26.466659903526306
宁AJ1292_1,16,b'2021-08-19 16:42:53',1,22.61223614215851,25.383299589157104
冀RE6316_1,16,b'2021-08-19 18:12:20',0,22.544227838516235,24.71669912338257
宁CBS808_0,11,b'2021-08-19 18:28:16',0,22.36898124217987,21.866639256477356
宁B97712_1,16,b'2021-08-19 18:32:48',0,21.483564376831055,22.000020146369934
冀JZ1191_1,15,b'2021-08-19 18:44:30',0,22.029240131378174,24.016680121421814
冀A9921Z_1,16,b'2021-08-19 18:51:56',1,22.27895200252533,21.4166396856308
冀JR6512_1,16,b'2021-08-19 19:04:34',0,23.183611035346985,23.86668026447296
冀JR6551_1,16,b'2021-08-19 19:14:24',0,24.8877614736557,23.14997971057892
豫RNM203_1,16,b'2021-08-19 19:43:08',1,22.901635766029358,22.30001986026764
宁A5437F_0,1,b'2021-08-19 19:53:57',1,23.06503415107727,20.333340167999268
冀A9912Z_1,16,b'2021-08-19 20:04:14',0,23.182877898216248,23.483340740203857
鲁JE6607_1,13,b'2021-08-19 20:05:54',1,24.200032353401184,22.599960565567017
宁B97080_1,16,b'2021-08-19 20:08:18',0,22.818304896354675,23.083380460739136
