vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁AL1576_1,14,b'2021-07-23 07:59:52',0,33.772923946380615,34.133280515670776
蒙K1269H_0,1,b'2021-07-23 08:05:15',0,27.55088746547699,30.016618967056274
宁A5106K_0,1,b'2021-07-23 08:10:24',1,28.301931023597717,25.36668062210083
宁BQ1268_0,1,b'2021-07-23 08:11:57',1,28.573193550109863,27.999960780143738
宁AX956B_0,1,b'2021-07-23 08:13:24',1,28.466724157333374,26.016719341278076
宁A1DK38_0,11,b'2021-07-23 08:14:26',0,26.970468163490295,28.75002086162567
宁A1W667_0,1,b'2021-07-23 08:14:29',1,28.454566597938538,38.48334074020386
宁AZA775_0,1,b'2021-07-23 08:14:33',1,28.303316831588745,38.45003843307495
宁A577R3_0,1,b'2021-07-23 08:16:35',1,28.22555422782898,46.25004172325134
宁AK8927_1,13,b'2021-07-23 08:18:01',0,33.344457149505615,34.78331923484802
宁BW1923_0,1,b'2021-07-23 08:24:54',1,28.59972059726715,28.14996063709259
宁CE3067_1,13,b'2021-07-23 08:25:41',0,35.36123514175415,34.78331923484802
蒙CQB789_0,1,b'2021-07-23 08:26:06',1,28.71112883090973,30.93330144882202
宁BAV133_0,1,b'2021-07-23 08:28:10',1,28.366416692733765,38.133301734924316
宁A1875C_0,1,b'2021-07-23 08:34:03',1,28.298410177230835,27.966660261154175
蒙CK6897_0,11,b'2021-07-23 08:43:14',0,31.56522274017334,37.30002164840698
蒙C32881_1,3,b'2021-07-23 08:46:06',0,35.16658544540405,42.51666069030762
宁AH129F_0,1,b'2021-07-23 08:46:31',1,28.646065592765808,24.949920773506165
宁DFR229_0,1,b'2021-07-23 08:48:01',0,26.865246891975403,27.833340167999268
蒙CG2659_0,1,b'2021-07-23 08:51:42',1,28.503835201263428,24.450060725212097
京PEH503_0,1,b'2021-07-23 08:52:38',1,28.33631694316864,27.033299803733826
蒙CLW931_0,1,b'2021-07-23 08:53:51',1,28.699675798416138,53.366639614105225
宁BA101警_3,1,b'2021-07-23 08:58:05',1,28.567349910736084,27.13331937789917
宁BAV132_0,1,b'2021-07-23 09:01:06',1,28.94453465938568,26.56667947769165
宁BF2363_0,1,b'2021-07-23 09:02:31',1,28.523823022842407,26.666759848594666
蒙AXP271_0,1,b'2021-07-23 09:05:33',1,28.001638054847717,26.683260798454285
宁AH812Z_0,1,b'2021-07-23 09:06:31',0,25.408464074134827,27.09995985031128
宁C68242_0,1,b'2021-07-23 09:06:42',1,28.363149762153625,30.699959993362427
