vehicle_id,vehicle type,time,first appear,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁CJC591_0,11,b'2021-08-31 07:44:34',0,31.82698846,36.20004058,2.1717515,6.2480035,2.334131,7.244114,14.295758,2.58336,7.0333204,2.56668,7.6000195,16.41666
宁ARX566_0,1,b'2021-08-31 07:46:15',1,26.5475893,25.08336067,1.8724556,5.412195,1.9941142,6.0232973,12.200091,1.78332,4.96668,1.8333601,5.41668,11.083321
宁BM7969_0,1,b'2021-08-31 07:47:58',0,26.31708741,32.63333917,1.8709131,5.475113,1.9937074,6.1030445,12.135609,1.75002,5.06664,8.93334,5.71668,11.16666
宁AL1760_1,13,b'2021-08-31 07:48:33',0,35.8457315,40.0333786,2.4019458,6.9584756,2.6554983,7.9338403,17.062954,2.21664,6.4833603,7.4500203,7.6499996,16.23336
宁BAC816_0,1,b'2021-08-31 07:48:57',1,26.8139112,31.91669941,1.8914593,5.465052,2.0149794,6.101332,12.363388,1.66668,4.81668,1.73334,5.53332,18.16668
宁ASL956_0,1,b'2021-08-31 07:49:57',1,26.5554142,27.93342054,1.8869902,5.411946,2.0051587,6.0406513,12.21304,1.8333601,5.50002,1.9833599,5.86668,12.75
宁DA9903_0,1,b'2021-08-31 07:50:09',1,26.63587689,27.9499197,1.8938521,5.4825754,2.0138898,6.1306105,12.239029,2.0666401,5.66664,2.01666,5.9833198,12.2166605
宁A5BF19_0,1,b'2021-08-31 07:51:39',1,26.60801053,24.94997978,1.8784072,5.430215,2.0016615,6.04869,12.270319,1.68336,4.61664,1.69998,5.29998,11.650021
宁A6038N_0,1,b'2021-08-31 08:00:07',1,26.79726362,22.61664033,1.895164,5.441287,2.015327,6.078582,12.307406,1.5666599,4.54998,1.51668,4.93332,10.05
宁A2921B_0,1,b'2021-08-31 08:03:49',0,31.08527899,28.66667926,2.167465,5.7524495,2.3378615,6.6451387,13.33853,2.26668,5.93334,2.21664,6.18336,12.06666
宁BZ0932_0,1,b'2021-08-31 08:05:00',1,26.96186721,25.08336067,1.9155823,5.4958777,2.033789,6.1582537,12.362138,1.8333601,4.66668,1.8333601,5.59998,11.149981
蒙L78291_1,13,b'2021-08-31 08:08:25',0,33.99906993,31.68336153,2.3016567,6.835787,2.5147018,7.742047,16.028704,2.13336,5.9833198,2.20002,7.00002,14.36664
宁A90W49_0,1,b'2021-08-31 08:09:15',0,25.80670416,24.8999995,1.8360245,5.2515707,1.9634194,5.7982183,11.816692,1.71666,4.9500003,1.66668,5.20002,11.36664
宁AS2279_0,1,b'2021-08-31 08:11:58',1,27.03288138,25.91669977,1.9070683,5.445531,2.0283303,6.0968776,12.393464,1.71666,4.81668,1.76664,5.58336,12.03336
宁A7JC21_0,11,b'2021-08-31 08:14:59',0,37.90480971,27.2500205,2.5492113,7.6620708,2.8588731,8.762757,17.33615,1.8,4.99998,1.9499999,5.8833604,12.61668
宁A02K51_0,1,b'2021-08-31 08:16:03',0,28.80005121,38.20002079,2.0223897,5.735878,2.160864,6.5153365,13.0725765,2.0833201,5.41668,12.03336,6.1666803,12.49998
宁A2QL26_0,11,b'2021-08-31 08:16:40',1,32.02850461,30.51666141,2.1782334,6.1925244,2.3613636,7.1932163,14.352198,2.03334,5.7666597,2.11668,6.53334,14.066641
宁CHJ596_0,11,b'2021-08-31 08:18:42',1,32.44427562,35.51663876,2.207202,6.2837787,2.3971236,7.3134203,14.565624,2.3999999,6.96666,2.61666,7.76664,15.766681
浙J7X162_0,1,b'2021-08-31 08:19:38',1,26.80744529,25.18331945,1.9038401,5.4109993,2.0262215,6.0563035,12.265956,1.61664,5.13336,1.86666,5.35002,11.2166395
宁A8148A_0,1,b'2021-08-31 08:21:54',1,27.10977137,27.31668055,1.926008,5.461616,2.0480382,6.1320944,12.418584,1.71666,5.03334,2.14998,6.31668,12.100019
宁AA0078_1,4,b'2021-08-31 08:23:04',0,30.74508905,30.89993834,2.122221,5.9568734,2.28951,6.8900304,13.790607,2.01666,5.55,2.0833201,7.01664,14.23332
宁A2GF95_0,1,b'2021-08-31 08:24:54',0,25.61339021,27.46668041,1.8240564,5.202942,1.968006,5.7348094,11.724284,1.81668,5.31666,1.86666,5.8833604,12.58332
