vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁A59063_0,11,b'2021-08-18 20:02:29',0,33.05335521697998,31.349998712539673
宁ASC600_0,1,b'2021-08-18 20:06:33',1,20.796512961387634,22.53335952758789
宁AZ708R_0,11,b'2021-08-18 21:21:04',0,26.53176248073578,28.06662082672119
宁A5U199_0,11,b'2021-08-18 21:30:54',1,24.386231303215027,19.583340883255005
冀JR6501_1,16,b'2021-08-18 21:41:02',0,22.973756790161133,23.249940276145935
宁A51191_1,12,b'2021-08-18 22:04:02',1,22.40714728832245,21.716639399528503
鄂FNR852_1,16,b'2021-08-18 22:10:19',1,23.0177503824234,20.183279514312744
津CD0979_1,16,b'2021-08-18 23:10:56',0,22.453765869140625,23.200020790100098
宁A3M590_0,1,b'2021-08-19 01:11:39',1,22.943977117538452,23.850059509277344
津AT0666_1,16,b'2021-08-19 07:03:52',0,22.588371634483337,22.399980425834656
宁A89F85_0,1,b'2021-08-19 07:15:04',1,21.141303777694702,21.083280444145203
冀A9929Z_1,16,b'2021-08-19 07:34:38',0,23.700942993164062,23.500020503997803
冀A0500W_1,16,b'2021-08-19 07:36:03',0,24.082045555114746,21.466680765151978
宁A72830_0,11,b'2021-08-19 08:13:24',1,24.230523705482483,19.816680550575256
晋BAA047_0,1,b'2021-08-19 09:31:46',1,21.95379674434662,23.249999284744263
宁AS537G_0,11,b'2021-08-19 09:54:43',0,25.910562872886658,21.61668062210083
宁AC689B_0,1,b'2021-08-19 10:17:47',1,21.96216881275177,24.449999928474426
宁BAD968_0,11,b'2021-08-19 10:35:31',0,26.288241147994995,28.54997992515564
宁AX770R_0,11,b'2021-08-19 10:54:43',1,23.659692406654358,23.566680550575256
宁AK1991_1,16,b'2021-08-19 10:55:58',1,22.7879136800766,22.166699767112732
冀JR6553_1,16,b'2021-08-19 11:19:07',1,21.7837393283844,22.98336088657379
冀A0891W_1,16,b'2021-08-19 11:52:49',1,23.186075091362,22.78331995010376
宁A59063_0,11,b'2021-08-19 12:10:40',0,33.80729556083679,33.116698265075684
冀RF3100_1,16,b'2021-08-19 12:30:33',1,22.653295397758484,23.63334059715271
冀JR6503_1,16,b'2021-08-19 12:43:30',0,23.834869265556335,22.38330066204071
冀RF3099_1,16,b'2021-08-19 12:49:16',0,22.65470802783966,23.050019145011902
宁AK3795_1,16,b'2021-08-19 12:54:16',1,22.848535180091858,21.916619539260864
鲁JE6660_1,16,b'2021-08-19 12:55:29',0,22.1106094121933,22.466699481010437
冀JR6515_1,16,b'2021-08-19 13:21:08',0,22.283150553703308,22.98330008983612
冀JR6562_1,16,b'2021-08-19 13:22:17',0,25.128058791160583,23.899980783462524
宁AC355E_0,11,b'2021-08-19 13:52:41',0,24.884812831878662,24.366660118103027
冀J9A373_1,16,b'2021-08-19 14:46:01',0,24.009581208229065,24.166679978370667
冀J0B378_1,15,b'2021-08-19 14:50:10',0,24.266440272331238,23.566680550575256
冀J2B818_1,15,b'2021-08-19 15:00:42',0,24.84577775001526,22.283279299736023
冀J7P710_1,15,b'2021-08-19 15:32:27',1,23.90683114528656,23.399999141693115
冀JR6563_1,16,b'2021-08-19 15:51:59',1,22.446091175079346,22.53335952758789
冀JR6559_1,16,b'2021-08-19 15:54:17',0,22.90433943271637,23.38331937789917
