vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁AL1576_1,14,b'2021-07-23 07:59:52',0,38.855159282684326,34.133280515670776
蒙K1269H_0,1,b'2021-07-23 08:05:15',0,26.2618625164032,30.016618967056274
宁A5106K_0,1,b'2021-07-23 08:10:24',1,27.802305221557617,25.36668062210083
宁BQ1268_0,1,b'2021-07-23 08:11:57',1,27.817468643188477,27.999960780143738
宁AX956B_0,1,b'2021-07-23 08:13:24',1,27.9900062084198,26.016719341278076
宁A1DK38_0,11,b'2021-07-23 08:14:26',0,29.176136255264282,28.75002086162567
宁A1W667_0,1,b'2021-07-23 08:14:29',1,27.0003604888916,38.48334074020386
宁AZA775_0,1,b'2021-07-23 08:14:33',1,27.914991974830627,38.45003843307495
宁A577R3_0,1,b'2021-07-23 08:16:35',1,27.45194435119629,46.25004172325134
宁AK8927_1,13,b'2021-07-23 08:18:01',0,35.881465673446655,34.78331923484802
宁BW1923_0,1,b'2021-07-23 08:24:54',1,28.532769083976746,28.14996063709259
宁CE3067_1,13,b'2021-07-23 08:25:41',0,36.75922393798828,34.78331923484802
蒙CQB789_0,1,b'2021-07-23 08:26:06',1,28.128762245178223,30.93330144882202
宁BAV133_0,1,b'2021-07-23 08:28:10',1,27.31747269630432,38.133301734924316
宁A1875C_0,1,b'2021-07-23 08:34:03',1,27.328484058380127,27.966660261154175
蒙CK6897_0,11,b'2021-07-23 08:43:14',0,29.218933582305908,37.30002164840698
蒙C32881_1,3,b'2021-07-23 08:46:06',0,32.08407998085022,42.51666069030762
宁AH129F_0,1,b'2021-07-23 08:46:31',1,27.16839909553528,24.949920773506165
宁DFR229_0,1,b'2021-07-23 08:48:01',0,27.054308652877808,27.833340167999268
蒙CG2659_0,1,b'2021-07-23 08:51:42',1,25.439345240592957,24.450060725212097
京PEH503_0,1,b'2021-07-23 08:52:38',1,27.662522792816162,27.033299803733826
蒙CLW931_0,1,b'2021-07-23 08:53:51',1,27.929434776306152,53.366639614105225
宁BA101警_3,1,b'2021-07-23 08:58:05',1,27.67495036125183,27.13331937789917
宁BAV132_0,1,b'2021-07-23 09:01:06',1,27.053995728492737,26.56667947769165
宁BF2363_0,1,b'2021-07-23 09:02:31',1,27.284148931503296,26.666759848594666
蒙AXP271_0,1,b'2021-07-23 09:05:33',1,27.033534049987793,26.683260798454285
宁AH812Z_0,1,b'2021-07-23 09:06:31',0,26.450843811035156,27.09995985031128
宁C68242_0,1,b'2021-07-23 09:06:42',1,26.031036972999573,30.699959993362427
宁AF025L_0,1,b'2021-07-23 09:07:12',1,26.7755126953125,25.76669991016388
蒙LFH139_0,1,b'2021-07-23 09:11:45',1,26.36872172355652,45.73331952095032
宁A2PP82_0,11,b'2021-07-23 09:18:49',0,32.56343722343445,29.449980854988098
宁BAP105_0,1,b'2021-07-23 09:20:51',1,27.056626081466675,27.78324007987976
宁BE1210_0,1,b'2021-07-23 09:20:54',1,27.294597029685974,27.70002007484436
宁AE560P_0,1,b'2021-07-23 09:20:55',1,26.624305844306946,27.75000035762787
甘EH2042_0,1,b'2021-07-23 09:22:31',1,26.91411316394806,56.46666169166565
宁CL4626_0,1,b'2021-07-23 09:23:17',0,28.901719450950623,28.63338053226471
鲁A8P85J_0,1,b'2021-07-23 09:24:57',1,27.908320426940918,24.23334002494812
宁BQ3817_0,1,b'2021-07-23 09:25:01',1,27.198132276535034,25.066620111465454
宁AG583D_0,1,b'2021-07-23 09:26:22',0,26.747977137565613,30.06665825843811
宁AQ631E_0,1,b'2021-07-23 09:27:57',0,28.497605323791504,27.716699838638306
宁A673V6_0,1,b'2021-07-23 09:29:16',1,26.514315605163574,28.399980068206787
宁CC9292_1,16,b'2021-07-23 09:29:31',0,30.59715986251831,31.183319091796875
蒙CE6931_0,1,b'2021-07-23 09:33:39',1,27.035722732543945,34.333319664001465
宁AP112P_0,1,b'2021-07-23 09:33:48',0,26.2631356716156,29.133299589157104
宁AMY838_0,1,b'2021-07-23 09:34:21',0,24.985313415527344,27.43332087993622
宁BN8838_0,1,b'2021-07-23 09:34:54',1,26.93635582923889,25.300020575523376
蒙LZR201_0,1,b'2021-07-23 09:35:57',1,27.31504797935486,51.40001893043518
宁BX0680_0,1,b'2021-07-23 09:39:53',0,30.854809284210205,31.849980354309082
宁CY7556_0,1,b'2021-07-23 09:43:19',1,26.63975715637207,28.75002086162567
蒙B5U778_0,1,b'2021-07-23 09:44:12',0,27.75893211364746,29.40000057220459
宁BV9852_0,1,b'2021-07-23 09:44:18',1,27.560593485832214,26.766600608825684
宁BE8795_0,1,b'2021-07-23 09:44:19',0,27.8074711561203,26.366640329360962
宁AG095H_0,1,b'2021-07-23 09:44:20',1,27.767479419708252,26.233259439468384
宁AD303R_0,1,b'2021-07-23 09:44:36',0,27.183818221092224,27.233399748802185
辽H25851_1,13,b'2021-07-23 09:45:30',1,41.67780160903931,38.73330116271973
辽HJ6136_1,13,b'2021-07-23 09:45:38',1,41.29632353782654,38.683379888534546
宁A797H2_0,1,b'2021-07-23 09:47:15',1,26.948915719985962,28.050060868263245
宁BF2766_0,1,b'2021-07-23 09:52:45',0,26.79737627506256,33.31661939620972
宁CF01899_4,1,b'2021-07-23 09:54:05',0,25.395115613937378,26.81670069694519
宁ANT218_0,1,b'2021-07-23 09:54:49',0,25.582144260406494,44.733359813690186
蒙CWZ076_0,1,b'2021-07-23 09:55:23',1,27.40940272808075,27.683340311050415
宁B19996_1,2,b'2021-07-23 09:57:42',0,27.789793610572815,30.266700983047485
蒙L356P2_0,1,b'2021-07-23 10:01:12',1,27.24781036376953,45.39989948272705
陕AU8710_1,16,b'2021-07-23 10:03:46',1,37.41524934768677,43.316638469696045
陕AW6867_1,16,b'2021-07-23 10:03:47',0,40.375492572784424,43.30008029937744
陕AW9623_1,16,b'2021-07-23 10:04:14',1,37.26092576980591,42.88331866264343
陕AV6016_1,16,b'2021-07-23 10:04:35',1,37.56234169006348,42.766621112823486
宁BU0726_0,11,b'2021-07-23 10:07:34',0,31.9712233543396,34.79999899864197
蒙LC9297_0,1,b'2021-07-23 10:15:03',1,27.298121452331543,66.64998292922974
宁EU8078_0,1,b'2021-07-23 10:17:31',0,25.310386419296265,25.750020146369934
宁CJA071_0,1,b'2021-07-23 10:17:54',1,27.57515788078308,26.633339524269104
蒙LEY318_0,1,b'2021-07-23 10:19:36',0,26.550262570381165,27.566639184951782
贵JA6167_1,16,b'2021-07-23 10:21:39',0,41.77873492240906,39.899940490722656
贵J38791_1,16,b'2021-07-23 10:21:52',0,41.71868562698364,40.04994034767151
宁A798G6_0,1,b'2021-07-23 10:21:58',1,27.3968106508255,26.16659939289093
宁CU6736_0,1,b'2021-07-23 10:22:23',0,29.400064945220947,27.750059366226196
辽BM7080_1,13,b'2021-07-23 10:23:24',0,40.811004638671875,35.00004172325134
宁CB0137_0,1,b'2021-07-23 10:25:39',0,27.66741693019867,25.51661968231201
蒙D91059_1,13,b'2021-07-23 10:26:50',1,42.63833284378052,68.31672191619873
蒙C0AR01_0,1,b'2021-07-23 10:30:50',1,27.827991843223572,35.35001993179321
宁AK3565_1,13,b'2021-07-23 10:31:23',0,33.07544946670532,33.249961137771606
川B83211_1,9,b'2021-07-23 10:32:26',1,31.61494016647339,41.16660118103027
蒙D88331_1,13,b'2021-07-23 10:32:51',1,42.696014642715454,62.38326072692871
宁BD2555_0,1,b'2021-07-23 10:32:57',1,27.575969696044922,25.65000057220459
蒙AYV554_0,1,b'2021-07-23 10:33:07',1,26.87517285346985,37.31664061546326
蒙D89895_1,13,b'2021-07-23 10:33:26',1,42.66359567642212,61.99997663497925
川ZJ7358_0,1,b'2021-07-23 10:34:12',1,26.91153109073639,26.349960565567017
甘HJ0101_0,1,b'2021-07-23 10:34:27',1,27.64531910419464,25.68329930305481
宁CE8555_1,16,b'2021-07-23 10:36:48',1,37.68786549568176,34.833301305770874
宁AZ381D_0,1,b'2021-07-23 10:37:43',0,27.893775701522827,28.083359599113464
甘JV4989_0,1,b'2021-07-23 10:39:38',0,35.79076409339905,43.39998006820679
宁CFL924_0,1,b'2021-07-23 10:41:18',0,25.855112671852112,26.64996027946472
宁CA0722_0,1,b'2021-07-23 10:41:30',0,28.168551921844482,36.76655888557434
宁A2726A_0,1,b'2021-07-23 10:43:09',1,26.975446343421936,43.15001964569092
甘AM9809_0,1,b'2021-07-23 10:43:18',1,26.724178791046143,35.41668176651001
宁AR2027_0,1,b'2021-07-23 10:47:11',1,27.00303554534912,26.93328022956848
黑BJ2492_1,12,b'2021-07-23 10:48:47',0,39.58840370178223,40.43339967727661
宁AL8036_0,12,b'2021-07-23 10:51:56',0,37.67847776412964,35.19995927810669
蒙CEH929_0,1,b'2021-07-23 11:00:03',1,28.32709014415741,31.3333797454834
宁AH772W_0,1,b'2021-07-23 11:00:14',1,28.269676566123962,46.19999885559082
宁A857B8_0,1,b'2021-07-23 11:01:08',1,27.97790229320526,28.34994077682495
晋MV5690_1,16,b'2021-07-23 11:02:14',0,34.38067674636841,34.16670083999634
蒙CBE317_0,1,b'2021-07-23 11:07:05',1,26.923710107803345,27.61661946773529
宁B0A119_0,1,b'2021-07-23 11:07:17',0,27.209458351135254,86.11668348312378
宁ER9800_0,1,b'2021-07-23 11:08:35',1,28.13973069190979,29.283299446105957
宁AG3206_1,16,b'2021-07-23 11:11:09',0,37.537686824798584,45.7000207901001
甘A66L98_0,1,b'2021-07-23 11:13:09',1,27.700390219688416,29.63334023952484
蒙CF1330_0,1,b'2021-07-23 11:16:44',1,27.630826234817505,25.96668004989624
蒙LU2570_0,1,b'2021-07-23 11:18:40',0,28.986178636550903,28.250039219856262
宁AJ1163_1,14,b'2021-07-23 11:24:11',1,38.07326674461365,39.14999842643738
宁A1JK17_0,11,b'2021-07-23 11:24:18',0,33.59335899353027,44.21669840812683
甘AD5E58_0,1,b'2021-07-23 11:28:09',1,27.21157193183899,25.65000057220459
宁ASZ732_0,1,b'2021-07-23 11:29:37',0,27.560868859291077,58.80000114440918
宁DF1555_0,11,b'2021-07-23 11:29:42',1,31.868155002593994,45.69995999336243
宁BX2839_0,1,b'2021-07-23 11:29:57',0,26.777122020721436,26.13342046737671
宁A323E7_0,1,b'2021-07-23 11:30:00',1,27.23322629928589,25.950000286102295
宁CY3259_0,1,b'2021-07-23 11:30:32',1,27.84132957458496,25.833359956741333
贵J38262_1,16,b'2021-07-23 11:37:01',1,38.62063765525818,38.866621255874634
吉AS2916_1,12,b'2021-07-23 11:38:25',0,39.0239417552948,35.85000157356262
鲁CN1689_1,13,b'2021-07-23 11:39:03',1,41.72540545463562,34.43334102630615
宁CJ0306_0,1,b'2021-07-23 11:39:26',1,28.453835248947144,29.9166601896286
蒙B030R9_0,1,b'2021-07-23 11:40:32',1,28.7124502658844,72.83339738845825
蒙MAF265_0,1,b'2021-07-23 11:44:00',0,26.632724404335022,25.950059294700623
蒙B96571_1,13,b'2021-07-23 11:46:01',0,44.24593448638916,182.4166774749756
宁A678Q7_0,1,b'2021-07-23 11:47:05',1,26.76265776157379,29.79996085166931
宁AN018M_0,1,b'2021-07-23 11:50:50',0,27.080336809158325,25.949939489364624
辽HA7871_1,13,b'2021-07-23 11:51:31',1,39.52202081680298,71.86667919158936
川A0FK98_0,1,b'2021-07-23 11:54:51',1,27.80635714530945,25.333380103111267
宁DG5329_0,1,b'2021-07-23 11:58:03',0,27.050469517707825,27.350040078163147
宁AA086W_0,1,b'2021-07-23 11:59:19',1,27.448253631591797,27.933359742164612
宁AL315P_0,1,b'2021-07-23 11:59:32',0,24.58387792110443,29.483399391174316
沪C8T2P8_0,1,b'2021-07-23 12:00:53',1,28.795092701911926,28.81667912006378
宁CCR727_0,1,b'2021-07-23 12:03:44',1,27.82023310661316,23.933399319648743
宁A6D036_0,1,b'2021-07-23 12:04:44',1,28.090338706970215,28.75002086162567
蒙GJN937_0,1,b'2021-07-23 12:04:50',1,28.20426642894745,68.14998149871826
宁E5D877_3,1,b'2021-07-23 12:05:01',0,27.89481282234192,24.59999978542328
宁CAL301_0,1,b'2021-07-23 12:10:39',0,28.772778511047363,26.866679191589355
甘ADC989_0,1,b'2021-07-23 12:12:33',1,28.353896141052246,47.316598892211914
冀D8E787_1,16,b'2021-07-23 12:13:52',0,39.93842840194702,74.21663761138916
宁CC5163_1,13,b'2021-07-23 12:17:34',0,37.25300073623657,35.94995856285095
晋JA8953_1,16,b'2021-07-23 12:18:06',1,39.28934454917908,41.66670083999634
宁A377A3_0,1,b'2021-07-23 12:26:11',1,28.359943628311157,27.933359742164612
豫L099D1_0,1,b'2021-07-23 12:27:27',0,27.709906697273254,40.81661939620972
宁CBP909_0,1,b'2021-07-23 12:30:09',1,27.451447248458862,28.983299732208252
宁CBF011_0,1,b'2021-07-23 12:30:27',1,28.0239075422287,29.683379530906677
宁BC4458_0,1,b'2021-07-23 12:31:19',0,29.34941053390503,27.316619753837585
宁CE3500_1,13,b'2021-07-23 12:34:55',0,40.49502611160278,33.18329930305481
蒙LL3672_0,1,b'2021-07-23 12:36:09',1,27.9797226190567,73.94999742507935
宁CV8886_0,1,b'2021-07-23 12:37:09',1,28.137717247009277,27.01673984527588
津AZ3072_1,16,b'2021-07-23 12:43:19',0,36.926751136779785,36.566641330718994
蒙B94932_1,12,b'2021-07-23 12:43:28',0,48.800625801086426,128.46659660339355
宁AG066M_0,1,b'2021-07-23 12:44:47',0,26.497541069984436,25.816739201545715
宁E9F369_0,1,b'2021-07-23 12:45:09',1,28.345643877983093,26.066699624061584
宁A8W299_0,1,b'2021-07-23 12:45:51',1,28.243820071220398,39.850019216537476
宁B00506_0,1,b'2021-07-23 12:47:29',1,27.131826281547546,26.84999942779541
宁AD2095_1,14,b'2021-07-23 12:48:02',1,37.0616090297699,35.816638469696045
宁AE1690_1,14,b'2021-07-23 12:48:12',0,35.017865896224976,35.6332790851593
甘A169F7_0,1,b'2021-07-23 12:48:17',1,28.92346501350403,25.466700196266174
吉J55950_0,1,b'2021-07-23 12:50:17',1,28.222718238830566,66.61662340164185
宁A1R397_0,1,b'2021-07-23 12:51:43',1,26.398884057998657,28.016640543937683
蒙B006SS_0,1,b'2021-07-23 12:51:56',1,26.687171459197998,29.166659116744995
宁A76G23_0,1,b'2021-07-23 12:57:41',1,28.57422709465027,25.84998071193695
宁CFF583_0,11,b'2021-07-23 12:57:56',0,33.894667625427246,29.466660618782043
宁AP076X_0,1,b'2021-07-23 12:58:54',0,27.430288195610046,24.51665997505188
蒙KFR776_0,1,b'2021-07-23 12:59:17',1,28.28567147254944,101.44997835159302
宁BS8609_0,1,b'2021-07-23 12:59:39',0,27.314915657043457,30.400021076202393
宁A7LL36_0,1,b'2021-07-23 13:00:33',1,29.209173917770386,26.400060653686523
宁CAL361_0,1,b'2021-07-23 13:02:43',0,27.86615788936615,27.21660017967224
蒙KK516R_0,1,b'2021-07-23 13:03:28',1,28.429505825042725,97.2333025932312
蒙LU7200_0,1,b'2021-07-23 13:12:06',1,27.94367015361786,28.216740489006042
宁BAL756_0,11,b'2021-07-23 13:12:10',1,32.67271041870117,32.500079870224
宁BB5732_0,1,b'2021-07-23 13:12:19',1,27.81736135482788,28.616639971733093
宁A1DK38_0,11,b'2021-07-23 13:13:53',0,29.517304301261902,29.833320379257202
宁A1720K_0,1,b'2021-07-23 13:17:47',1,27.580679655075073,25.216619968414307
冀EU4461_1,13,b'2021-07-23 13:18:51',1,43.64468336105347,38.53331923484802
宁B97392_1,16,b'2021-07-23 13:25:07',0,34.49533939361572,33.66671919822693
宁AX108T_0,1,b'2021-07-23 13:25:53',0,28.326197862625122,23.766660690307617
宁AH261H_0,1,b'2021-07-23 13:29:58',1,27.78835952281952,27.933300733566284
宁AH737B_0,1,b'2021-07-23 13:31:07',0,27.670111656188965,26.516759991645813
宁A90515_1,3,b'2021-07-23 13:35:03',1,32.26201772689819,33.166680335998535
宁C37543_0,1,b'2021-07-23 13:35:08',1,28.013023138046265,27.683340311050415
蒙LJX752_0,11,b'2021-07-23 13:39:50',1,32.65225052833557,29.63334023952484
鲁CR1765_1,16,b'2021-07-23 13:41:15',1,37.57875680923462,79.36667919158936
蒙L64659_1,14,b'2021-07-23 13:44:03',0,35.86812973022461,34.1166615486145
宁BBM926_0,1,b'2021-07-23 13:46:13',0,26.457184553146362,28.21667969226837
甘LN7488_0,1,b'2021-07-23 13:48:47',1,27.95013427734375,32.566680908203125
蒙L68959_1,13,b'2021-07-23 13:48:54',0,36.604392528533936,39.183300733566284
宁C39151_0,1,b'2021-07-23 13:49:01',1,27.826759815216064,30.64998149871826
蒙M60966_0,1,b'2021-07-23 13:52:52',1,28.73279571533203,30.550020933151245
京FH1441_0,1,b'2021-07-23 13:53:20',1,27.926570177078247,27.049920558929443
宁C6E888_0,1,b'2021-07-23 14:00:56',1,28.269857168197632,26.01666033267975
宁A6E530_0,1,b'2021-07-23 14:02:04',0,27.741340398788452,24.74999964237213
宁CGQ399_0,1,b'2021-07-23 14:10:27',1,27.666313648223877,33.15000057220459
甘AX7V06_0,1,b'2021-07-23 14:11:56',0,26.77911400794983,45.899999141693115
宁CFN637_0,1,b'2021-07-23 14:12:50',1,28.050953149795532,35.63333988189697
蒙B18618_0,1,b'2021-07-23 14:13:45',1,26.6030752658844,47.083261013031006
宁B6C568_0,1,b'2021-07-23 14:14:22',1,27.631784677505493,24.91667926311493
宁DCG868_0,1,b'2021-07-23 14:16:04',0,26.1015522480011,26.749979853630066
