vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
青ANH707_0,1,b'2021-08-18 14:43:22',0,29.012099504470825,29.51669991016388
宁B99275_0,1,b'2021-08-18 14:44:10',1,26.553838849067688,26.749979853630066
宁CGJ993_0,1,b'2021-08-18 14:45:10',1,27.44273006916046,27.349979281425476
宁CER053_0,11,b'2021-08-18 14:45:18',0,38.409597873687744,41.21670126914978
宁C50891_1,2,b'2021-08-18 14:45:37',0,30.95630407333374,32.05001950263977
晋MQ6043_1,12,b'2021-08-18 14:46:25',1,35.18748164176941,38.09993863105774
甘H9L272_0,1,b'2021-08-18 14:47:37',1,27.369001507759094,27.13331937789917
宁C23666_0,1,b'2021-08-18 14:48:23',1,27.61327028274536,25.733399391174316
宁DAG708_0,1,b'2021-08-18 14:53:12',1,26.98460876941681,30.983340740203857
浙DR975X_0,1,b'2021-08-18 14:55:35',0,26.429588198661804,26.01666033267975
宁A9A173_0,1,b'2021-08-18 14:57:21',0,28.147189021110535,31.033319234848022
宁CKW399_0,1,b'2021-08-18 14:57:27',1,27.148942351341248,32.0499587059021
宁BAE198_0,1,b'2021-08-18 15:00:17',1,27.074596881866455,32.50001907348633
宁CU8105_0,1,b'2021-08-18 15:02:25',1,27.589595317840576,29.066700339317322
宁A5AG68_0,1,b'2021-08-18 15:03:58',1,27.945855259895325,25.716660618782043
宁A31T10_0,1,b'2021-08-18 15:04:05',0,28.94088327884674,26.49996042251587
吉C58538_1,12,b'2021-08-18 15:06:20',1,36.0078227519989,40.166698694229126
宁CZ6067_0,1,b'2021-08-18 15:08:07',1,27.464933395385742,27.833279371261597
宁D7C166_0,1,b'2021-08-18 15:08:44',1,27.408519387245178,29.59998071193695
宁E75079_1,23,b'2021-08-18 15:11:32',1,28.13936412334442,31.150020360946655
宁CBA559_0,1,b'2021-08-18 15:11:38',1,27.123214602470398,26.983319520950317
蒙AU6L07_0,1,b'2021-08-18 15:12:22',1,27.999059557914734,24.39996063709259
鄂E79030_0,1,b'2021-08-18 15:13:13',0,27.31279492378235,26.683319807052612
宁A6Z506_0,1,b'2021-08-18 15:13:47',1,27.584901452064514,27.78330087661743
苏F0FV66_0,1,b'2021-08-18 15:15:12',0,25.100033283233643,28.86665940284729
宁A8W884_0,1,b'2021-08-18 15:20:14',1,27.083128094673157,25.616700053215027
宁AC252B_0,1,b'2021-08-18 15:26:09',1,28.01677644252777,26.25
宁CAM387_0,1,b'2021-08-18 15:26:55',0,26.625888347625732,24.63335931301117
宁BN0585_0,1,b'2021-08-18 15:27:53',1,27.24789798259735,43.43333959579468
宁CB0100_1,3,b'2021-08-18 15:28:50',0,31.725035905838013,32.000041007995605
鲁E791FG_0,1,b'2021-08-18 15:29:08',0,27.50296175479889,27.89993941783905
京CAU681_0,1,b'2021-08-18 15:30:51',1,27.545430064201355,28.333320021629333
宁C55355_0,1,b'2021-08-18 15:33:54',1,28.108994364738464,37.29996085166931
宁CCD361_0,1,b'2021-08-18 15:34:07',1,27.429673075675964,26.666640043258667
宁CDA891_0,1,b'2021-08-18 15:37:01',0,26.667693257331848,26.44998013973236
甘AF7T67_0,1,b'2021-08-18 15:37:15',1,27.755513191223145,26.65001928806305
蒙L64182_1,12,b'2021-08-18 15:40:11',0,34.894587993621826,35.433361530303955
宁A9KQ77_0,1,b'2021-08-18 15:43:18',1,27.607900500297546,25.866599678993225
宁AYN666_0,11,b'2021-08-18 15:46:53',1,31.957379579544067,33.733259439468384
宁A1387C_0,1,b'2021-08-18 15:49:53',0,26.132732033729553,24.28332030773163
宁A320S5_0,11,b'2021-08-18 15:52:30',0,38.07465076446533,34.98335838317871
宁CA1179_1,16,b'2021-08-18 15:53:16',0,38.71707201004028,35.26667833328247
宁A1855C_0,1,b'2021-08-18 15:53:54',1,27.840948700904846,27.733320593833923
宁BCT328_0,1,b'2021-08-18 15:53:56',0,27.137516140937805,25.583340525627136
宁CGJ265_0,1,b'2021-08-18 15:54:31',1,27.2623211145401,28.43340039253235
鲁VC8076_1,12,b'2021-08-18 15:56:39',1,36.29653573036194,64.58333730697632
